sku_id,title,category,price_usd,description
SKU001,Luxury Candle Set,candle,65,"Hand-poured soy wax candles in cedarwood and vanilla. Set of 3, gift-boxed, burn time 40hrs each."
SKU002,Artisan Chocolate Box,food,45,"24-piece single-origin chocolate assortment. Dark, milk, and white varieties, beautifully packaged."
SKU003,Silk Sleep Mask,wellness,38,"100% mulberry silk, adjustable strap, blocks light completely. Comes in a satin pouch."
SKU004,Personalized Journal,stationery,55,"Leather-bound journal with custom name embossing. 200 pages, lay-flat binding, ribbon bookmark."
SKU005,Premium Tea Collection,food,42,"Curated set of 12 loose-leaf teas from Japan, India, and Sri Lanka. Includes a ceramic infuser."
SKU006,Wireless Charging Pad,tech,49,"15W fast-charge Qi pad, works with all Qi-enabled devices. Minimalist matte finish, USB-C."
SKU007,Spa Gift Set,wellness,85,"Bath salts, body scrub, face mask, and aromatherapy oil. Everything in a bamboo tray."
SKU008,Succulent Arrangement,plants,55,"5 hand-selected succulents in a ceramic planter. Low maintenance, arrives ready to display."
SKU009,Gourmet Coffee Bundle,food,60,"Three single-origin whole-bean coffees from Ethiopia, Colombia, and Guatemala. 12oz each."
SKU010,Gold Hoop Earrings,jewelry,95,"14k gold-filled hoops, 30mm diameter, lightweight. Hypoallergenic, come in a velvet pouch."
SKU011,Knit Throw Blanket,home,75,"100% merino wool, 50x60 inches, chunky knit. Available in cream, grey, and sage."
SKU012,Leather Card Holder,accessories,48,"Full-grain leather, holds 8 cards, slim profile. Monogram available at checkout."
SKU013,Scented Room Spray,home,32,"Natural essential oil blend — linen and white tea. 100ml, no aerosols, travel-friendly."
SKU014,Herb Growing Kit,plants,40,"Grow basil, mint, and rosemary indoors. Comes with pots, soil, seeds, and instructions."
SKU015,Ceramic Mug Set,home,52,"Set of 2 hand-thrown ceramic mugs, 14oz. Dishwasher safe, each slightly unique."
SKU016,Champagne & Truffles,food,120,Split of Veuve Clicquot with 6 handmade chocolate truffles. Arrives in a branded gift box.
SKU017,Monogram Tote Bag,accessories,68,"Canvas tote with custom monogram. Interior pocket, magnetic closure, reinforced handles."
SKU018,Yoga Mat & Block Set,wellness,78,"Non-slip natural rubber mat (6mm), cork block, and carrying strap. No toxic materials."
SKU019,Mini Perfume Discovery Set,beauty,55,Six 8ml travel perfumes from indie fragrance houses. Includes scent profile cards.
SKU020,Wooden Puzzle 500pc,entertainment,38,"Botanical illustration, premium wood pieces, reusable storage box. Designed for adults."
SKU021,Cold Brew Coffee Kit,food,44,"Glass cold brew pitcher, coarse grind Ethiopian coffee, brewing guide. Makes 32oz batches."
SKU022,Silk Pillowcase Set,home,72,"Two queen-size 22-momme silk pillowcases. Reduces hair frizz, cooling in summer."
SKU023,Desk Succulent Trio,plants,35,Three 2-inch succulents in matching white ceramic pots. Perfect for a desk or windowsill.
SKU024,Artisan Hot Sauce Set,food,36,Four small-batch hot sauces ranging from mild to very hot. Local NYC producers.
SKU025,Fitness Tracker Band,tech,89,"Tracks steps, sleep, heart rate, and calories. 7-day battery, water resistant to 50m."
SKU026,Linen Dinner Napkins,home,48,"Set of 6 stonewashed linen napkins. Pre-washed for softness, frayed hem, earthy tones."
SKU027,Book Club Starter Set,entertainment,58,Three bestselling novels selected by our editorial team plus a custom bookmarks set.
SKU028,Matcha Ceremony Kit,food,65,"Ceremonial-grade matcha, bamboo whisk, chawan bowl, and a printed brewing guide."
SKU029,Silver Chain Bracelet,jewelry,82,"Sterling silver, 7-inch adjustable chain. Lobster clasp, comes in a branded jewelry box."
SKU030,Facial Roller Set,beauty,46,Rose quartz roller and gua sha tool. Comes with a how-to card and a velvet storage bag.
